Name,WHO Region, Cases - cumulative total , Cases - cumulative total per 100000 population , Cases - newly reported in last 7 days , Cases - newly reported in last 7 days per 100000 population , Cases - newly reported in last 24 hours , Deaths - cumulative total , Deaths - cumulative total per 100000 population , Deaths - newly reported in last 7 days , Deaths - newly reported in last 7 days per 100000 population , Deaths - newly reported in last 24 hours ,,,
Bangladesh,South-East Asia," 1,998,291 "," 1,213 "," 6,233 ", 4 , -   ," 29,249 ", 18 , 32 , 0 , -   ,,,
Hungary,Europe," 1,951,079 "," 19,971 "," 10,255 ", 105 ," 10,255 "," 46,736 ", 478 , 40 , 0 , 40 ,,,
Slovakia,Europe," 1,808,387 "," 33,134 "," 5,521 ", 101 ," 1,159 "," 20,183 ", 370 , 17 , 0 , 7 ,,,
Jordan,Eastern Mediterranean," 1,705,116 "," 16,712 "," 2,455 ", 24 , -   ," 14,070 ", 138 , 1 , 0 , -   ,,,
Georgia,Europe," 1,667,453 "," 41,799 ", -   , -   , -   ," 16,847 ", 422 , -   , -   , -   ,,,
Ireland,Europe," 1,628,745 "," 32,808 "," 1,207 ", 24 , -   ," 7,571 ", 153 , 5 , 0 , -   ,,,
Singapore,Western Pacific," 1,616,067 "," 27,623 "," 75,289 "," 1,287 "," 13,794 "," 1,460 ", 25 , 23 , 0 , 3 ,,,
Pakistan,Eastern Mediterranean," 1,547,203 ", 700 ," 3,698 ", 2 , 459 ," 30,445 ", 14 , 21 , 0 , -   ,,,
New Zealand,Western Pacific," 1,519,314 "," 31,506 "," 66,793 "," 1,385 "," 10,716 "," 1,837 ", 38 , 163 , 3 , 34 ,,,
Norway,Europe," 1,453,067 "," 27,071 "," 1,601 ", 30 , 144 ," 3,596 ", 67 , 92 , 2 , -   ,,,
Kazakhstan,Europe," 1,410,812 "," 7,514 "," 10,324 ", 55 ," 1,976 "," 19,020 ", 101 , 1 , 0 , -   ,,,
Morocco,Eastern Mediterranean," 1,253,341 "," 3,396 "," 10,513 ", 28 ," 1,575 "," 16,193 ", 44 , 33 , 0 , 4 ,,,
Bulgaria,Europe," 1,189,000 "," 17,104 "," 8,364 ", 120 ," 1,862 "," 37,307 ", 537 , 28 , 0 , 6 ,,,
Lithuania,Europe," 1,172,186 "," 41,952 "," 5,219 ", 187 ," 1,111 "," 9,194 ", 329 , 7 , 0 , 2 ,,,
Finland,Europe," 1,171,032 "," 21,194 "," 1,383 ", 25 , -   ," 5,012 ", 91 , -   , -   , -   ,,,
Croatia,Europe," 1,169,342 "," 28,815 "," 9,089 ", 224 ," 1,151 "," 16,169 ", 398 , 45 , 1 , 11 ,,,
Lebanon,Eastern Mediterranean," 1,144,149 "," 16,763 "," 17,738 ", 260 ," 1,505 "," 10,494 ", 154 , 15 , 0 , 3 ,,,
Tunisia,Eastern Mediterranean," 1,114,370 "," 9,429 "," 27,340 ", 231 , -   ," 28,942 ", 245 , 119 , 1 , -   ,,,
Cuba,Americas," 1,106,930 "," 9,773 ", 440 , 4 , 51 ," 8,529 ", 75 , -   , -   , -   ,,,
Slovenia,Europe," 1,063,653 "," 50,750 "," 11,020 ", 526 ," 2,787 "," 7,864 ", 375 , 6 , 0 , -   ,,,
Belarus,Europe," 994,037 "," 10,520 ", -   , -   , -   ," 7,118 ", 75 , -   , -   , -   ,,,
Guatemala,Americas," 985,245 "," 5,499 "," 36,496 ", 204 , 768 ," 18,839 ", 105 , 114 , 1 , 17 ,,,
Nepal,South-East Asia," 982,402 "," 3,372 "," 1,635 ", 6 , 340 ," 11,954 ", 41 , 2 , 0 , -   ,,,
United Arab Emirates,Eastern Mediterranean," 976,180 "," 9,870 "," 10,105 ", 102 ," 1,378 "," 2,327 ", 24 , 3 , 0 , 2 ,,,
Bolivia (Plurinational State of),Americas," 974,005 "," 8,344 "," 25,350 ", 217 ," 4,353 "," 21,989 ", 188 , 19 , 0 , 7 ,,,
Uruguay,Americas," 967,808 "," 27,861 "," 2,438 ", 70 , -   ," 7,387 ", 213 , 14 , 0 , -   ,,,
Costa Rica,Americas," 960,340 "," 18,852 ", -   , -   , -   ," 8,525 ", 167 , -   , -   , -   ,,,
Panama,Americas," 942,083 "," 21,834 "," 9,973 ", 231 , -   ," 8,395 ", 195 , 11 , 0 , -   ,,,
Ecuador,Americas," 935,821 "," 5,304 "," 13,655 ", 77 , 610 ," 35,774 ", 203 , 19 , 0 , -   ,,,
Mongolia,Western Pacific," 933,241 "," 28,467 "," 2,899 ", 88 ," 1,183 "," 2,119 ", 65 , -   , -   , -   ,,,
Latvia,Europe," 847,709 "," 44,437 "," 5,582 ", 293 ," 1,179 "," 5,878 ", 308 , 7 , 0 , 3 ,,,
Puerto Rico,Americas," 820,175 "," 28,669 "," 16,297 ", 570 , 518 ," 4,691 ", 164 , 47 , 2 , 7 ,,,
Saudi Arabia,Eastern Mediterranean," 805,277 "," 2,313 "," 4,408 ", 13 , 707 ," 9,233 ", 27 , 10 , 0 , -   ,,,
Azerbaijan,Europe," 794,913 "," 7,840 "," 1,086 ", 11 , 257 ," 9,727 ", 96 , 8 , 0 , 4 ,,,
Paraguay,Americas," 688,820 "," 9,657 "," 14,991 ", 210 , -   ," 19,083 ", 268 , 47 , 1 , -   ,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean," 672,039 "," 13,174 "," 9,451 ", 185 , -   ," 5,664 ", 111 , 2 , 0 , -   ,,,
Sri Lanka,South-East Asia," 664,572 "," 3,104 ", 227 , 1 , -   ," 16,533 ", 77 , 7 , 0 , 2 ,,,
Bahrain,Eastern Mediterranean," 651,513 "," 38,289 "," 10,857 ", 638 , 889 ," 1,506 ", 89 , 6 , 0 , -   ,,,
Kuwait,Eastern Mediterranean," 648,216 "," 15,179 ", -   , -   , -   ," 2,556 ", 60 , -   , -   , -   ,,,
Dominican Republic,Americas," 622,432 "," 5,738 "," 2,931 ", 27 , -   ," 4,383 ", 40 , -   , -   , -   ,,,
Myanmar,South-East Asia," 613,871 "," 1,128 ", 98 , 0 , 16 ," 19,434 ", 36 , -   , -   , -   ,,,
Estonia,Europe," 584,373 "," 43,972 "," 1,357 ", 102 , -   ," 2,612 ", 197 , 4 , 0 , -   ,,,
Cyprus,Europe," 545,896 "," 61,474 "," 15,386 "," 1,733 ", -   ," 1,086 ", 122 , 7 , 1 , -   ,,,
Venezuela (Bolivarian Republic of),Americas," 530,649 "," 1,866 "," 2,220 ", 8 , 247 ," 5,748 ", 20 , 7 , 0 , -   ,,,
Republic of Moldova,Europe," 526,394 "," 13,049 "," 3,360 ", 83 , -   ," 11,592 ", 287 , 8 , 0 , -   ,,,
Egypt,Eastern Mediterranean," 514,413 ", 503 , 231 , 0 , -   ," 24,750 ", 24 , 25 , 0 , -   ,,,
Libya,Eastern Mediterranean," 502,642 "," 7,315 ", 353 , 5 , -   ," 6,431 ", 94 , 1 , 0 , -   ,,,
Ethiopia,Africa," 491,172 ", 427 , 615 , 1 , -   ," 7,562 ", 7 , 10 , 0 , -   ,,,
Honduras,Americas," 432,139 "," 4,363 "," 1,467 ", 15 , -   ," 10,919 ", 110 , 7 , 0 , -   ,,,
Réunion,Africa," 429,237 "," 47,943 "," 3,599 ", 402 , -   , 825 , 92 , 6 , 1 , -   ,,,
Armenia,Europe," 424,400 "," 14,322 ", 629 , 21 , -   ," 8,626 ", 291 , -   , -   , -   ,,,
Qatar,Eastern Mediterranean," 397,446 "," 13,795 "," 7,391 ", 257 ," 1,102 ", 680 , 24 , -   , -   , -   ,,,
Oman,Eastern Mediterranean," 393,002 "," 7,696 "," 1,361 ", 27 , -   ," 4,628 ", 91 , -   , -   , -   ,,,
Bosnia and Herzegovina,Europe," 381,543 "," 11,630 "," 1,561 ", 48 , 393 ," 15,824 ", 482 , 14 , 0 , 5 ,,,
Kenya,Africa," 336,798 ", 626 , 745 , 1 , -   ," 5,668 ", 11 , -   , -   , -   ,,,
Zambia,Africa," 327,994 "," 1,784 ", 892 , 5 , -   ," 4,009 ", 22 , 1 , 0 , -   ,,,
Botswana,Africa," 323,327 "," 13,749 ", -   , -   , -   ," 2,752 ", 117 , -   , -   , -   ,,,
North Macedonia,Europe," 319,806 "," 15,350 "," 3,077 ", 148 , 770 ," 9,343 ", 448 , 4 , 0 , 2 ,,,
Albania,Europe," 290,954 "," 10,110 "," 1,563 ", 54 , -   ," 3,517 ", 122 , 1 , 0 , -   ,,,
Luxembourg,Europe," 277,888 "," 44,383 "," 4,487 ", 717 , 538 ," 1,107 ", 177 , 6 , 1 , -   ,,,
Algeria,Africa," 266,487 ", 608 , 184 , 0 , -   ," 6,875 ", 16 , -   , -   , -   ,,,
Nigeria,Africa," 259,007 ", 126 , 133 , 0 , -   ," 3,144 ", 2 , -   , -   , -   ,,,
Zimbabwe,Africa," 256,158 "," 1,723 ", 177 , 1 , -   ," 5,568 ", 37 , 3 , 0 , -   ,,,
Montenegro,Europe," 248,529 "," 39,571 "," 4,195 ", 668 , 883 ," 2,732 ", 435 , 3 , 0 , 2 ,,,
Uzbekistan,Europe," 242,437 ", 724 , 555 , 2 , 71 ," 1,637 ", 5 , -   , -   , -   ,,,
Kosovo[1],Europe," 238,230 "," 13,267 "," 6,246 ", 348 , 842 ," 3,141 ", 175 , 6 , 0 , 1 ,,,
Mauritius,Africa," 236,651 "," 18,608 ", -   , -   , -   ," 1,008 ", 79 , -   , -   , -   ,,,
Mozambique,Africa," 229,077 ", 733 , 308 , 1 , -   ," 2,215 ", 7 , 1 , 0 , -   ,,,
Lao People's Democratic Republic,Western Pacific," 210,592 "," 2,895 ", 206 , 3 , 46 , 757 , 10 , -   , -   , -   ,,,
Martinique,Americas," 208,003 "," 55,428 "," 2,742 ", 731 , -   , 986 , 263 , 5 , 1 , -   ,,,
Kyrgyzstan,Europe," 201,704 "," 3,092 ", 422 , 6 , -   ," 2,991 ", 46 , -   , -   , -   ,,,
Iceland,Europe," 200,397 "," 55,034 "," 1,722 ", 473 , 258 , 179 , 49 , -   , -   , -   ,,,
Brunei Darussalam,Western Pacific," 191,774 "," 43,836 "," 12,015 "," 2,746 "," 1,871 ", 181 , 41 , 7 , 2 , -   ,,,
Afghanistan,Eastern Mediterranean," 183,908 ", 472 , 636 , 2 , 221 ," 7,736 ", 20 , 8 , 0 , 3 ,,,
Maldives,South-East Asia," 183,908 "," 34,023 ", 417 , 77 , -   , 307 , 57 , -   , -   , -   ,,,
El Salvador,Americas," 180,970 "," 2,790 ", -   , -   , -   ," 4,177 ", 64 , 13 , 0 , -   ,,,
Guadeloupe,Americas," 179,285 "," 44,807 "," 3,937 ", 984 , -   , 960 , 240 , 2 , 1 , -   ,,,
Trinidad and Tobago,Americas," 169,227 "," 12,092 ", 905 , 65 , 47 ," 4,039 ", 289 , 11 , 1 , 1 ,,,
Uganda,Africa," 167,815 ", 367 , 232 , 1 , -   ," 3,626 ", 8 , -   , -   , -   ,,,
Ghana,Africa," 167,215 ", 538 , -   , -   , -   ," 1,456 ", 5 , -   , -   , -   ,,,
Namibia,Africa," 166,388 "," 6,548 ", 49 , 2 , -   ," 4,069 ", 160 , 1 , 0 , -   ,,,
Jamaica,Americas," 144,932 "," 4,894 ", 794 , 27 , 51 ," 3,173 ", 107 , 15 , 1 , 12 ,,,
Cambodia,Western Pacific," 136,499 ", 816 , 125 , 1 , 22 ," 3,056 ", 18 , -   , -   , -   ,,,
Rwanda,Africa," 131,944 "," 1,019 ", 172 , 1 , -   ," 1,466 ", 11 , 4 , 0 , -   ,,,
Cameroon,Africa," 120,068 ", 452 , -   , -   , -   ," 1,931 ", 7 , -   , -   , -   ,,,
Malta,Europe," 111,410 "," 21,651 "," 1,917 ", 373 , 261 , 777 , 151 , 14 , 3 , 4 ,,,
Angola,Africa," 102,209 ", 311 , 117 , 0 , -   ," 1,912 ", 6 , 1 , 0 , -   ,,,
Democratic Republic of the Congo,Africa," 91,928 ", 103 , -   , -   , -   ," 1,390 ", 2 , -   , -   , -   ,,,
French Guiana,Americas," 89,779 "," 30,058 ", -   , -   , -   , 402 , 135 , -   , -   , -   ,,,
Barbados,Americas," 87,754 "," 30,536 "," 1,303 ", 453 , 170 , 479 , 167 , 1 , 0 , -   ,,,
Malawi,Africa," 86,823 ", 454 , 73 , 0 , -   ," 2,651 ", 14 , 2 , 0 , -   ,,,
Senegal,Africa," 86,791 ", 518 , 250 , 1 , -   ," 1,968 ", 12 , -   , -   , -   ,,,
Côte d’Ivoire,Africa," 84,616 ", 321 , 451 , 2 , -   , 808 , 3 , 2 , 0 , -   ,,,
Suriname,Americas," 80,919 "," 13,794 ", 29 , 5 , -   ," 1,377 ", 235 , 1 , 0 , -   ,,,
French Polynesia,Western Pacific," 74,305 "," 26,452 ", 283 , 101 , -   , 649 , 231 , -   , -   , -   ,,,
Eswatini,Africa," 73,243 "," 6,313 ", 16 , 1 , -   ," 1,417 ", 122 , -   , -   , -   ,,,
Guyana,Americas," 68,972 "," 8,769 ", 747 , 95 , 59 ," 1,267 ", 161 , 5 , 1 , 1 ,,,
New Caledonia,Western Pacific," 68,135 "," 23,865 "," 1,363 ", 477 ," 1,363 ", 314 , 110 , -   , -   , -   ,,,
Fiji,Western Pacific," 66,975 "," 7,471 ", 588 , 66 , -   , 870 , 97 , 1 , 0 , -   ,,,
Madagascar,Africa," 66,289 ", 239 , 191 , 1 , -   ," 1,406 ", 5 , 3 , 0 , -   ,,,
Belize,Americas," 66,179 "," 16,643 "," 1,231 ", 310 , 185 , 680 , 171 , -   , -   , -   ,,,
Sudan,Eastern Mediterranean," 62,914 ", 143 , 91 , 0 , 40 ," 4,955 ", 11 , -   , -   , -   ,,,
Cabo Verde,Africa," 61,945 "," 11,141 ", 169 , 30 , -   , 409 , 74 , -   , -   , -   ,,,
Mauritania,Africa," 61,865 "," 1,331 ", 462 , 10 , -   , 986 , 21 , -   , -   , -   ,,,
Bhutan,South-East Asia," 60,109 "," 7,790 ", 127 , 16 , -   , 21 , 3 , -   , -   , -   ,,,
Jersey,Europe," 56,803 "," 52,695 ", 366 , 340 , -   , 131 , 122 , -   , -   , -   ,,,
Syrian Arab Republic,Eastern Mediterranean," 56,022 ", 320 , 67 , 0 , 17 ," 3,150 ", 18 , -   , -   , -   ,,,
Gabon,Africa," 48,289 "," 2,170 ", 132 , 6 , -   , 306 , 14 , 1 , 0 , -   ,,,
Seychelles,Africa," 45,269 "," 46,030 ", 84 , 85 , -   , 168 , 171 , 1 , 1 , -   ,,,
Andorra,Europe," 45,061 "," 58,320 ", -   , -   , -   , 153 , 198 , -   , -   , -   ,,,
Curaçao,Americas," 44,932 "," 27,382 ", 150 , 91 , 150 , 282 , 172 , 2 , 1 , 2 ,,,
Guam,Western Pacific," 44,914 "," 26,612 ", 582 , 345 , -   , 376 , 223 , 3 , 2 , -   ,,,
Papua New Guinea,Western Pacific," 44,765 ", 500 , 13 , 0 , 4 , 662 , 7 , -   , -   , -   ,,,
Burundi,Africa," 43,593 ", 367 , 493 , 4 , -   , 15 , 0 , -   , -   , -   ,,,
Aruba,Americas," 41,787 "," 39,139 ", 342 , 320 , 342 , 224 , 210 , -   , -   , -   ,,,
Mayotte,Africa," 38,408 "," 14,078 ", 269 , 99 , 269 , 187 , 69 , -   , -   , -   ,,,
Togo,Africa," 37,812 ", 457 , 141 , 2 , -   , 275 , 3 , -   , -   , -   ,,,
Isle of Man,Europe," 37,538 "," 44,146 ", 299 , 352 , 299 , 111 , 131 , 1 , 1 , 1 ,,,
Guinea,Africa," 37,351 ", 284 , -   , -   , -   , 445 , 3 , -   , -   , -   ,,,
United Republic of Tanzania,Africa," 36,520 ", 61 , -   , -   , -   , 841 , 1 , -   , -   , -   ,,,
Bahamas,Americas," 36,454 "," 9,270 ", 155 , 39 , -   , 822 , 209 , -   , -   , -   ,,,
Faroe Islands,Europe," 34,658 "," 70,926 ", -   , -   , -   , 28 , 57 , -   , -   , -   ,,,
Lesotho,Africa," 34,040 "," 1,589 ", -   , -   , -   , 702 , 33 , -   , -   , -   ,,,
Haiti,Americas," 32,103 ", 282 , -   , -   , -   , 837 , 7 , -   , -   , -   ,,,
Mali,Africa," 31,203 ", 154 , 11 , 0 , -   , 737 , 4 , -   , -   , -   ,,,
Guernsey,Europe," 29,601 "," 45,916 ", 556 , 862 , 556 , 54 , 84 , 4 , 6 , 4 ,,,
Cayman Islands,Americas," 28,389 "," 43,197 ", 423 , 644 , -   , 29 , 44 , -   , -   , -   ,,,
Saint Lucia,Americas," 27,464 "," 14,956 ", 127 , 69 , -   , 385 , 210 , -   , -   , -   ,,,
Benin,Africa," 27,271 ", 225 , -   , -   , -   , 163 , 1 , -   , -   , -   ,,,
Somalia,Eastern Mediterranean," 26,912 ", 169 , 12 , 0 , -   ," 1,361 ", 9 , -   , -   , -   ,,,
Congo,Africa," 24,604 ", 446 , -   , -   , -   , 386 , 7 , -   , -   , -   ,,,
Timor-Leste,South-East Asia," 22,984 "," 1,743 ", 10 , 1 , 4 , 133 , 10 , -   , -   , -   ,,,
Solomon Islands,Western Pacific," 21,544 "," 3,136 ", -   , -   , -   , 153 , 22 , -   , -   , -   ,,,
United States Virgin Islands,Americas," 21,444 "," 20,535 ", 269 , 258 , 118 , 120 , 115 , 1 , 1 , -   ,,,
Burkina Faso,Africa," 21,128 ", 101 , -   , -   , -   , 387 , 2 , -   , -   , -   ,,,
Gibraltar,Europe," 19,862 "," 58,953 ", 66 , 196 , 66 , 105 , 312 , -   , -   , -   ,,,
San Marino,Europe," 19,421 "," 57,225 ", 439 ," 1,294 ", 66 , 117 , 345 , 1 , 3 , -   ,,,
Grenada,Americas," 18,694 "," 16,613 ", 102 , 91 , 39 , 233 , 207 , -   , -   , -   ,,,
Liechtenstein,Europe," 18,415 "," 47,526 ", 129 , 333 , -   , 84 , 217 , -   , -   , -   ,,,
Tajikistan,Europe," 17,786 ", 186 , -   , -   , -   , 125 , 1 , -   , -   , -   ,,,
South Sudan,Africa," 17,733 ", 158 , -   , -   , -   , 138 , 1 , -   , -   , -   ,,,
Bermuda,Americas," 16,722 "," 26,853 ", 321 , 515 , -   , 141 , 226 , 1 , 2 , -   ,,,
Equatorial Guinea,Africa," 16,621 "," 1,185 ", 117 , 8 , -   , 183 , 13 , -   , -   , -   ,,,
Djibouti,Eastern Mediterranean," 15,690 "," 1,588 ", -   , -   , -   , 189 , 19 , -   , -   , -   ,,,
